X(mm),Y(mm),Z(mm)
1236.0,876.0,2.142857142857143
1500.0,852.0,2.142857142857143
1644.0,852.0,2.142857142857143
1716.0,864.0,2.142857142857143
1740.0,996.0,2.142857142857143
1740.0,1104.0,2.142857142857143
1740.0,1308.0,2.142857142857143
1740.0,1344.0,2.142857142857143
1740.0,1428.0,2.142857142857143
1716.0,1464.0,2.142857142857143
1548.0,1476.0,2.142857142857143
1440.0,1476.0,2.142857142857143
1344.0,1476.0,2.142857142857143
1308.0,1464.0,2.142857142857143
1236.0,1440.0,2.142857142857143
1128.0,1560.0,2.142857142857143
1128.0,1620.0,2.142857142857143
1272.0,1680.0,2.142857142857143
1320.0,1680.0,2.142857142857143
1956.0,1596.0,2.142857142857143
2148.0,1608.0,2.142857142857143
2340.0,1620.0,2.142857142857143
2448.0,1548.0,2.142857142857143
2304.0,1476.0,2.142857142857143
2256.0,1476.0,2.142857142857143
1956.0,1452.0,2.142857142857143
1872.0,996.0,2.142857142857143
1872.0,984.0,2.142857142857143
1884.0,936.0,2.142857142857143
1884.0,876.0,2.142857142857143
1980.0,840.0,2.142857142857143
2448.0,828.0,2.142857142857143
2592.0,840.0,2.142857142857143
2724.0,840.0,2.142857142857143
2796.0,780.0,2.142857142857143
2616.0,684.0,2.142857142857143
1248.0,684.0,2.142857142857143
1176.0,624.0,2.142857142857143
1104.0,576.0,2.142857142857143
912.0,588.0,2.142857142857143
96.0,1212.0,2.142857142857143
156.0,1212.0,2.142857142857143
252.0,1164.0,2.142857142857143
276.0,1152.0,2.142857142857143
468.0,1056.0,2.142857142857143
528.0,1032.0,2.142857142857143
528.0,924.0,2.142857142857143
408.0,924.0,2.142857142857143
300.0,1020.0,2.142857142857143
240.0,1056.0,2.142857142857143
132.0,1116.0,2.142857142857143
84.0,1140.0,2.142857142857143
456.0,1716.0,2.142857142857143
300.0,1872.0,2.142857142857143
312.0,1920.0,2.142857142857143
360.0,1920.0,2.142857142857143
384.0,1920.0,2.142857142857143
720.0,1584.0,2.142857142857143
732.0,1560.0,2.142857142857143
708.0,1536.0,2.142857142857143
636.0,1572.0,2.142857142857143
612.0,1584.0,2.142857142857143
204.0,96.0,4.285714285714286
240.0,156.0,4.285714285714286
504.0,336.0,4.285714285714286
516.0,348.0,4.285714285714286
648.0,444.0,4.285714285714286
660.0,456.0,4.285714285714286
696.0,468.0,4.285714285714286
744.0,468.0,4.285714285714286
768.0,396.0,4.285714285714286
648.0,348.0,4.285714285714286
372.0,144.0,4.285714285714286
348.0,120.0,4.285714285714286
252.0,48.0,4.285714285714286
900.0,720.0,4.285714285714286
1164.0,876.0,4.285714285714286
1368.0,864.0,4.285714285714286
1572.0,852.0,4.285714285714286
1704.0,852.0,4.285714285714286
1728.0,948.0,4.285714285714286
1740.0,1008.0,4.285714285714286
1740.0,1308.0,4.285714285714286
1740.0,1332.0,4.285714285714286
1740.0,1344.0,4.285714285714286
1740.0,1452.0,4.285714285714286
1596.0,1464.0,4.285714285714286
1500.0,1476.0,4.285714285714286
1392.0,1476.0,4.285714285714286
1332.0,1476.0,4.285714285714286
1260.0,1440.0,4.285714285714286
1128.0,1440.0,4.285714285714286
1128.0,1596.0,4.285714285714286
1188.0,1680.0,4.285714285714286
1308.0,1680.0,4.285714285714286
1620.0,1596.0,4.285714285714286
2028.0,1596.0,4.285714285714286
2280.0,1620.0,4.285714285714286
2448.0,1620.0,4.285714285714286
2448.0,1488.0,4.285714285714286
2268.0,1476.0,4.285714285714286
2160.0,1476.0,4.285714285714286
1944.0,1440.0,4.285714285714286
1872.0,996.0,4.285714285714286
1872.0,984.0,4.285714285714286
1884.0,888.0,4.285714285714286
1896.0,840.0,4.285714285714286
2160.0,828.0,4.285714285714286
2496.0,828.0,4.285714285714286
2676.0,840.0,4.285714285714286
2796.0,852.0,4.285714285714286
2784.0,708.0,4.285714285714286
1416.0,684.0,4.285714285714286
1188.0,636.0,4.285714285714286
1152.0,612.0,4.285714285714286
1056.0,576.0,4.285714285714286
84.0,1176.0,4.285714285714286
132.0,1212.0,4.285714285714286
240.0,1176.0,4.285714285714286
252.0,1164.0,4.285714285714286
372.0,1104.0,4.285714285714286
480.0,1044.0,4.285714285714286
528.0,972.0,4.285714285714286
468.0,924.0,4.285714285714286
324.0,996.0,4.285714285714286
288.0,1032.0,4.285714285714286
144.0,1104.0,4.285714285714286
120.0,1116.0,4.285714285714286
468.0,1716.0,4.285714285714286
312.0,1872.0,4.285714285714286
300.0,1884.0,4.285714285714286
348.0,1920.0,4.285714285714286
396.0,1908.0,4.285714285714286
408.0,1896.0,4.285714285714286
732.0,1572.0,4.285714285714286
732.0,1536.0,4.285714285714286
684.0,1536.0,4.285714285714286
624.0,1584.0,4.285714285714286
588.0,1596.0,4.285714285714286
204.0,132.0,6.428571428571429
492.0,324.0,6.428571428571429
504.0,336.0,6.428571428571429
576.0,396.0,6.428571428571429
648.0,444.0,6.428571428571429
672.0,456.0,6.428571428571429
708.0,468.0,6.428571428571429
756.0,432.0,6.428571428571429
684.0,360.0,6.428571428571429
648.0,336.0,6.428571428571429
360.0,132.0,6.428571428571429
288.0,48.0,6.428571428571429
216.0,48.0,6.428571428571429
900.0,876.0,6.428571428571429
1236.0,876.0,6.428571428571429
1500.0,852.0,6.428571428571429
1644.0,852.0,6.428571428571429
1716.0,864.0,6.428571428571429
1740.0,996.0,6.428571428571429
1740.0,1104.0,6.428571428571429
1740.0,1308.0,6.428571428571429
1740.0,1344.0,6.428571428571429
1740.0,1428.0,6.428571428571429
1716.0,1464.0,6.428571428571429
1548.0,1476.0,6.428571428571429
1440.0,1476.0,6.428571428571429
1344.0,1476.0,6.428571428571429
1308.0,1464.0,6.428571428571429
1236.0,1440.0,6.428571428571429
1128.0,1560.0,6.428571428571429
1128.0,1620.0,6.428571428571429
1272.0,1680.0,6.428571428571429
1320.0,1680.0,6.428571428571429
1956.0,1596.0,6.428571428571429
2148.0,1608.0,6.428571428571429
2340.0,1620.0,6.428571428571429
2448.0,1548.0,6.428571428571429
2304.0,1476.0,6.428571428571429
2256.0,1476.0,6.428571428571429
1956.0,1452.0,6.428571428571429
1872.0,996.0,6.428571428571429
1872.0,984.0,6.428571428571429
1884.0,936.0,6.428571428571429
1884.0,876.0,6.428571428571429
1980.0,840.0,6.428571428571429
